Ticker,DateAdded,DateRemoved
JLL,1900-01-01,9999-12-31
JNJ,1900-01-01,9999-12-31
JPM,1900-01-01,9999-12-31
KBR,1900-01-01,9999-12-31
KD,1900-01-01,9999-12-31
KDP,1900-01-01,9999-12-31
KEX,1900-01-01,9999-12-31
KEY,1900-01-01,9999-12-31
KEYS,1900-01-01,9999-12-31
KHC,1900-01-01,9999-12-31
KIM,1900-01-01,9999-12-31
KKR,1900-01-01,9999-12-31
KLAC,1900-01-01,9999-12-31
KMB,1900-01-01,9999-12-31
KMI,1900-01-01,9999-12-31
KMPR,1900-01-01,9999-12-31
KMX,1900-01-01,9999-12-31
KNSL,1900-01-01,9999-12-31
KNX,1900-01-01,9999-12-31
KO,1900-01-01,9999-12-31
KR,1900-01-01,9999-12-31
KRC,1900-01-01,9999-12-31
KRMN,1900-01-01,9999-12-31
KVUE,1900-01-01,9999-12-31
L,1900-01-01,9999-12-31
LAD,1900-01-01,9999-12-31
LAMR,1900-01-01,9999-12-31
LAZ,1900-01-01,9999-12-31
LBRDA,1900-01-01,9999-12-31
LBRDK,1900-01-01,9999-12-31
LBTYA,1900-01-01,9999-12-31
LBTYK,1900-01-01,9999-12-31
LCID,1900-01-01,9999-12-31
LDOS,1900-01-01,9999-12-31
LEA,1900-01-01,9999-12-31
LECO,1900-01-01,9999-12-31
LEN,1900-01-01,9999-12-31
LEN-B,1900-01-01,9999-12-31
LFUS,1900-01-01,9999-12-31
LH,1900-01-01,9999-12-31
LHX,1900-01-01,9999-12-31
LII,1900-01-01,9999-12-31
LIN,1900-01-01,9999-12-31
LINE,1900-01-01,9999-12-31
LITE,1900-01-01,9999-12-31
LKQ,1900-01-01,9999-12-31
LLY,1900-01-01,9999-12-31
LLYVA,1900-01-01,9999-12-31
LLYVK,1900-01-01,9999-12-31
LMT,1900-01-01,9999-12-31
LNC,1900-01-01,9999-12-31
LNG,1900-01-01,9999-12-31
LNT,1900-01-01,9999-12-31
LOAR,1900-01-01,9999-12-31
LOPE,1900-01-01,9999-12-31
LOW,1900-01-01,9999-12-31
LPLA,1900-01-01,9999-12-31
LPX,1900-01-01,9999-12-31
LRCX,1900-01-01,9999-12-31
LSCC,1900-01-01,9999-12-31
LSTR,1900-01-01,9999-12-31
LULU,1900-01-01,9999-12-31
