Date,Portfolio Value,Cash
2022-11-28,46644.73,0.0
2022-11-29,46683.88,0.0
2022-11-30,47373.28,0.0
2022-12-01,47341.73,0.0
2022-12-02,47337.2,0.0
2022-12-05,46411.82,0.0
2022-12-06,46315.12,0.0
2022-12-07,46249.28,0.0
2022-12-08,46143.18,0.0
2022-12-09,45560.98,0.0
2022-12-12,46508.78,0.0
2022-12-13,46544.54,0.0
2022-12-14,46480.26,0.0
2022-12-15,45584.02,0.0
2022-12-16,45174.08,0.0
2022-12-19,44797.76,0.0
2022-12-20,45254.22,0.0
2022-12-21,45804.55,0.0
2022-12-22,45220.79,0.0
2022-12-23,45712.93,0.0
2022-12-27,45828.82,0.0
2022-12-28,45051.87,0.0
2022-12-29,45337.39,0.0
2022-12-30,45159.38,0.0
2023-01-03,44344.88,0.0
2023-01-04,44605.41,0.0
2023-01-05,44625.09,0.0
2023-01-06,46011.57,0.0
2023-01-09,46161.22,0.0
2023-01-10,46453.62,0.0
2023-01-11,46787.16,0.0
2023-01-12,47114.76,0.0
2023-01-13,47147.17,0.0
2023-01-17,47151.25,0.0
2023-01-18,46200.15,0.0
2023-01-19,45853.45,0.0
2023-01-20,46218.68,0.0
2023-01-23,46355.47,0.0
2023-01-24,46684.29,0.0
2023-01-25,46716.24,0.0
2023-01-26,47289.09,0.0
2023-01-27,46838.81,0.0
2023-01-30,46558.44,0.0
2023-01-31,47072.59,0.0
2023-02-01,47220.96,0.0
2023-02-02,46921.51,0.0
2023-02-03,47078.44,0.0
2023-02-06,46883.02,0.0
2023-02-07,47315.27,0.0
2023-02-08,47038.97,0.0
2023-02-09,46705.35,0.0
2023-02-10,47414.79,0.0
2023-02-13,47675.34,0.0
2023-02-14,47673.32,0.0
2023-02-15,47636.03,0.0
2023-02-16,47442.5,0.0
2023-02-17,47171.56,0.0
2023-02-21,46597.58,0.0
2023-02-22,46501.21,0.0
2023-02-23,46761.29,0.0
2023-02-24,46710.98,0.0
2023-02-27,46947.59,0.0
2023-02-28,46513.27,0.0
2023-03-01,46924.15,0.0
2023-03-02,47170.83,0.0
2023-03-03,47732.95,0.0
2023-03-06,47514.07,0.0
2023-03-07,46964.88,0.0
2023-03-08,46965.74,0.0
2023-03-09,46072.05,0.0
2023-03-10,45108.81,0.0
2023-03-13,44405.14,0.0
2023-03-14,44967.51,0.0
2023-03-15,43729.08,0.0
2023-03-16,44412.55,0.0
2023-03-17,43621.57,0.0
2023-03-20,44397.2,0.0
2023-03-21,45300.29,0.0
2023-03-22,44563.58,0.0
2023-03-23,44383.17,0.0
2023-03-24,44406.43,0.0
2023-03-27,44877.03,0.0
2023-03-28,45091.31,0.0
2023-03-29,45501.7,0.0
2023-03-30,45584.61,0.0
2023-03-31,46363.71,0.0
2023-04-03,46905.26,0.0
2023-04-04,45635.74,0.0
2023-04-05,45382.75,0.0
2023-04-06,45003.97,0.0
2023-04-10,45662.39,0.0
2023-04-11,45832.44,0.0
2023-04-12,45703.25,0.0
2023-04-13,45884.48,0.0
2023-04-14,45966.63,0.0
2023-04-17,46097.64,0.0
2023-04-18,46226.65,0.0
2023-04-19,45944.01,0.0
2023-04-20,46213.47,0.0
2023-04-21,46142.69,0.0
2023-04-24,46197.57,0.0
2023-04-25,45431.14,0.0
2023-04-26,45306.15,0.0
2023-04-27,45965.24,0.0
2023-04-28,46554.3,0.0
2023-05-01,46609.39,0.0
2023-05-02,46141.43,0.0
2023-05-03,46150.85,0.0
2023-05-04,45530.07,0.0
2023-05-05,46224.34,0.0
2023-05-08,46169.94,0.0
2023-05-09,46142.14,0.0
2023-05-10,46163.74,0.0
2023-05-11,45877.51,0.0
2023-05-12,45822.97,0.0
2023-05-15,46031.08,0.0
2023-05-16,45513.79,0.0
2023-05-17,46055.07,0.0
2023-05-18,46837.63,0.0
2023-05-19,46595.71,0.0
2023-05-22,46341.43,0.0
2023-05-23,45654.05,0.0
2023-05-24,45537.08,0.0
2023-05-25,46464.95,0.0
2023-05-26,46598.95,0.0
2023-05-30,46747.54,0.0
2023-05-31,45998.12,0.0
2023-06-01,46297.42,0.0
2023-06-02,47382.24,0.0
2023-06-05,47370.02,0.0
