Date,Ticker,Action,Price,Shares,Portfolio Value
2022-12-01,VRTX,BUY,320.76,0.242027,47341.73
2022-12-01,TKO,BUY,74.33,1.521001,47341.73
2022-12-01,WRB,BUY,45.85,2.701211,47341.73
2022-12-01,TMUS,BUY,145.17,0.904957,47341.73
2022-12-01,WMB,BUY,29.75,0.846992,47341.73
2022-12-01,TRV,BUY,176.42,13.417606,47341.73
2022-12-01,SYY,BUY,77.64,30.487099,47341.73
2022-12-01,UNH,BUY,499.95,0.334174,47341.73
2022-12-01,VICI,BUY,27.47,1.634553,47341.73
2022-12-01,SJM,BUY,135.46,0.288337,47341.73
2022-12-01,GWW,BUY,584.69,0.133645,47341.73
2022-12-01,SO,BUY,59.75,0.417997,47341.73
2023-01-03,UNH,SELL,484.43,4.734656,44344.88
2023-01-03,SO,SELL,63.44,39.61786,44344.88
2023-01-03,SLB,SELL,47.24,3.090463,44344.88
2023-01-03,TRGP,SELL,65.06,0.215812,44344.88
2023-01-03,WRB,SELL,44.25,1.518694,44344.88
2023-01-03,TRV,SELL,175.4,0.776521,44344.88
2023-01-03,VICI,SELL,26.06,1.104371,44344.88
2023-01-03,SJM,SELL,139.91,1.626024,44344.88
2023-01-03,TPL,BUY,225.17,1.196512,44344.88
2023-01-03,SMCI,BUY,8.39,2.870621,44344.88
2023-01-03,VLO,BUY,107.87,0.603673,44344.88
2023-01-03,STLD,BUY,90.56,0.740917,44344.88
2023-01-03,TKO,BUY,64.54,2.508195,44344.88
2023-01-03,VRTX,BUY,286.02,0.37244,44344.88
2023-01-03,WMB,BUY,27.74,0.366385,44344.88
2023-01-03,TMUS,BUY,132.96,0.370572,44344.88
2023-01-03,SRE,BUY,68.82,0.368542,44344.88
2023-01-03,GWW,BUY,538.88,0.066031,44344.88
2023-01-03,SNA,BUY,209.19,10.599174,44344.88
2023-01-03,ULTA,BUY,471.63,4.701236,44344.88
2023-01-03,SYY,BUY,68.57,1.846892,44344.88
2023-01-03,VST,BUY,21.26,2.392256,44344.88
2023-02-01,VST,SELL,22.15,104.267937,47220.96
2023-02-01,SYY,SELL,70.77,32.333991,47220.96
2023-02-01,SNA,SELL,228.33,10.599174,47220.96
2023-02-01,STLD,SELL,119.25,4.684621,47220.96
2023-02-01,VLO,SELL,122.42,1.268096,47220.96
2023-02-01,SLB,SELL,51.1,0.724522,47220.96
2023-02-01,TKO,SELL,81.13,5.249469,47220.96
2023-02-01,TMUS,SELL,144.37,0.321677,47220.96
2023-02-01,ULTA,SELL,523.59,0.191891,47220.96
2023-02-01,VICI,SELL,28.3,1.630757,47220.96
2023-02-01,VRTX,SELL,317.27,0.310297,47220.96
2023-02-01,GWW,SELL,579.71,0.04172,47220.96
2023-02-01,TPL,BUY,208.9,1.455353,47220.96
2023-02-01,SMCI,BUY,7.97,31.695014,47220.96
2023-02-01,WRB,BUY,42.41,5.568701,47220.96
2023-02-01,TRGP,BUY,69.0,0.138334,47220.96
2023-02-01,ROST,BUY,114.25,20.66641,47220.96
2023-02-01,SJM,BUY,133.83,1.794613,47220.96
2023-02-01,WMB,BUY,27.49,5.958428,47220.96
2023-02-01,TRV,BUY,173.63,0.957214,47220.96
2023-02-01,SRE,BUY,71.59,0.76555,47220.96
2023-02-01,UNH,BUY,464.21,5.086129,47220.96
2023-02-01,WAB,BUY,102.53,23.028301,47220.96
2023-03-01,SRE,SELL,66.2,32.981642,46924.15
2023-03-01,WAB,SELL,103.1,23.028301,46924.15
